"Country.Name","Country.Code","Health_Expenditure_2022","Infant_Mortality_2022","GDP_per_Capita_2022","Life_Expectancy_2022"
"Paraguay","PRY",7.73804235,15.6,6205.6259537937,72.319
"Peru","PER",6.0930872,13.8,7350.63034300417,76.834
"Philippines","PHL",5.15676308,22.4,3548.06930572116,69.472
"Poland","POL",6.39626455,3.7,18891.213529396,77.1560975609756
"Portugal","PRT",10.46883011,2.6,24620.519556875,81.6317073170732
"Qatar","QAT",2.18112326,5,88701.463352273,81.857
"Romania","ROU",5.7490139,5.4,15557.8826247584,75.1536585365854
"Russian Federation","RUS",6.91986275,3.9,15619.6142578125,72.5456097560976
"Rwanda","RWA",7.8792119,30.8,975.469323979541,67.528
"Samoa","WSM",6.3012085,13.1,3869.46639492144,71.55
"San Marino","SMR",7.40650225,1.4,54264.570495898,85.708
"Sao Tome and Principe","STP",7.46419811,9.8,2389.73729784737,69.237
"Saudi Arabia","SAU",4.62462378,5.1,38510.2276211037,77.31
"Senegal","SEN",4.06358385,31.4,1574.0281059306,67.788
"Serbia","SRB",9.65742779,4.5,10022.9688543402,75.2365853658537
"Seychelles","SYC",4.2375164,13.3,16836.6721895387,73.7024390243903
"Sierra Leone","SLE",7.94752312,58,860.774590932595,61.275
"Singapore","SGP",4.89702511,1.8,90299.0694637269,82.8951219512195
"Slovak Republic","SVK",7.73064041,5,21334.6011006572,76.9658536585366
"Slovenia","SVN",9.60507679,1.9,28373.8382265999,81.2829268292683
"Solomon Islands","SLB",4.82369328,17,2005.4139933198,70.409
"Somalia, Fed. Rep.","SOM",2.62183189,89.9,573.128092472349,53.931
"South Africa","ZAF",8.77086639,24.5,6523.41097815853,65.454
"Spain","ESP",9.73828793,2.6,30270.2687017458,83.1341463414634
"Sri Lanka","LKA",4.36269855,5.5,3342.63650253855,77.3
"St. Kitts and Nevis","KNA",5.56801701,14.7,20985.0112160159,70.313
"St. Lucia","LCA",5.01938295,14.4,13103.8243147472,72.67
"St. Vincent and the Grenadines","VCT",4.68767738,10.3,9693.55867833025,71.191
"Sudan","SDN",4.61874437,40.3,1046.24084472656,65.695
